Node1	Node2	AdamicAdar	WeightedKatz	IsEdge	BonCen1	BonCen2	StatusDiff
33632	41051	1.85267503329	8.1225	1	0.06756	0.00304	0.06452
36457	38894	7.77968917578	37.905	1	0.058743	0.017927	0.040816
39608	44516	2.04585215441	8.1225	1	0.02992	0.001534	0.028386
34761	42305	0.942509014395	2.7075	1	0.001274	2.5e-05	0.001249
37393	38455	0	0	1	6e-06	0.000947	0.000941
35274	42493	3.29081138932	13.5375	1	0.006607	0.010975	0.004368
34027	34946	4.98422651766	21.66	1	0.012652	0.005779	0.006873
42279	42299	4.9630516457	17.1475	1	0.002722	0.033619	0.030897
44609	51336	1.55634797117	5.415	1	0.00161	0.004668	0.003058
48238	48284	2.35444607403	7.22	1	0.00142	0.001425	5.00000000000001e-06
32264	40995	1.63254231222	7.22	1	0.000999	0.007239	0.00624
36626	37667	10.4915772092	48.735	1	0.016509	0.057476	0.040967
35690	36809	6.17450100793	29.7825	1	0.040824	0.021963	0.018861
36457	37194	8.31973463085	42.4175	1	0.058743	0.03151	0.027233
33153	43703	3.49962657098	17.1475	1	0.005917	0.037004	0.031087
35188	51025	1.45279367746	4.5125	1	0.080332	0.001002	0.07933
42515	42523	3.60968701068	13.5375	1	0.005325	0.001651	0.003674
33475	41018	1.17544949045	4.5125	1	0.00128	0.002792	0.001512
45609	50435	5.93492674222	26.1725	1	0.044287	0.01272	0.031567
31662	32725	3.33001294867	11.7325	1	0.016537	0.002216	0.014321
39375	47826	3.95760475534	18.9525	1	0.054789	0.01486	0.039929
40614	42392	2.9000126733	14.44	1	0.011156	0.04591	0.034754
42593	49907	4.73436502052	25.27	1	0.026424	0.03402	0.007596
43861	51581	10.4654566151	43.32	1	0.006728	0.042473	0.035745
32186	40513	1.34958671016	3.61	1	0.016868	0.001257	0.015611
33732	39814	28.5688021707	128.155	1	0.052926	0.081581	0.028655
33632	39651	17.6845696643	85.7375	1	0.06756	0.047036	0.020524
47031	51817	3.14676007073	10.83	1	0.001228	0.001228	0
41361	44288	2.46308590066	9.025	1	0.013455	0.005365	0.00809
33952	50385	8.44486597625	39.71	1	0.042543	0.018099	0.024444
36001	50918	1.65944481041	4.5125	1	8.1e-05	8.1e-05	0
36403	40133	4.13317498266	18.9525	1	0.088983	0.009384	0.079599
36120	37999	3.22581618653	17.1475	1	0.057557	0.012797	0.04476
33479	44722	6.40132815585	25.27	1	0.012858	0.019286	0.006428
