"investors"	"companies"	"time"
30906	566	"2014-08"
30906	567	"2013-09"
30906	568	"2010-08"
30906	568	"2012-01"
30906	569	"2013-04"
30906	570	"2014-01"
30906	570	"2013-04"
30906	570	"2014-07"
30906	571	"2013-03"
30906	134	"2013-03"
30906	572	"2013-07"
30906	573	"2013-11"
30906	574	"2012-07"
30906	574	"2013-04"
30906	575	"2014-01"
30906	576	"2013-10"
30906	577	"2013-08"
30906	578	"2013-11"
30906	579	"2014-04"
30906	580	"2014-01"
30906	581	"2013-05"
30906	582	"2013-08"
30906	582	"2013-09"
30906	583	"2013-11"
30906	583	"2011-09"
30906	584	"2013-05"
30906	585	"2013-01"
30906	586	"2014-09"
30906	587	"2013-09"
30906	587	"2013-10"
30906	588	"2013-08"
30906	589	"2011-05"
30906	133	"2013-09"
30906	590	"2011-10"
30906	591	"2012-11"
30906	592	"2012-12"
30906	592	"2014-02"
30906	593	"2013-06"
30906	593	"2012-01"
30906	594	"2014-06"
30906	595	"2014-04"
30906	596	"2014-02"
30906	597	"2014-01"
30906	598	"2012-01"
30906	598	"2012-08"
30906	599	"2012-03"
30906	600	"2011-01"
30906	600	"2011-10"
30906	601	"2011-10"
30906	602	"2014-09"
30906	603	"2014-06"
30906	603	"2013-12"
30906	604	"2013-07"
30906	605	"2013-01"
30906	606	"2010-06"
30906	607	"2014-01"
30906	607	"2014-09"
30906	608	"2010-09"
30906	609	"2011-05"
30906	609	"2013-04"
30906	609	"2010-08"
30906	610	"2013-01"
30906	611	"2011-09"
30906	612	"2010-12"
30906	613	"2014-01"
30906	614	"2010-08"
30906	615	"2013-05"
30906	615	"2012-04"
30906	616	"2011-07"
30906	52	"2012-10"
30906	617	"2011-09"
30906	618	"2011-08"
30906	619	"2013-02"
30906	620	"2013-10"
30906	621	"2013-07"
30906	622	"2011-10"
30906	623	"2012-11"
30906	624	"2013-06"
30906	624	"2013-06"
30906	625	"2013-03"
30906	626	"2011-05"
30906	626	"2012-07"
30906	627	"2012-01"
30906	628	"2013-10"
30906	629	"2014-07"
30906	98	"2010-08"
30906	630	"2014-02"
30906	630	"2014-08"
30906	631	"2010-04"
30906	632	"2014-06"
30906	633	"2014-01"
30906	634	"2012-07"
30906	634	"2014-07"
30906	635	"2014-01"
30906	636	"2014-08"
30906	637	"2012-03"
30906	638	"2013-03"
30906	639	"2011-10"
30906	640	"2011-10"
30906	641	"2013-04"
30906	641	"2014-07"
30906	642	"2013-05"
30906	643	"2012-11"
30906	644	"2014-07"
30906	644	"2012-10"
30906	645	"2013-05"
30906	646	"2012-07"
30906	646	"2014-01"
30906	647	"2012-11"
30906	648	"2013-02"
30906	649	"2011-04"
30906	650	"2014-06"
30906	650	"2012-12"
30906	651	"2014-09"
30906	652	"2013-06"
30906	653	"2012-11"
30906	654	"2014-01"
30906	655	"2013-12"
30906	656	"2013-11"
30906	657	"2013-08"
30906	658	"2011-03"
30906	659	"2014-06"
30906	660	"2012-02"
30906	661	"2013-02"
30906	661	"2011-07"
30906	662	"2013-11"
30906	663	"2014-05"
30906	664	"2012-04"
30906	665	"2013-11"
30906	666	"2014-01"
30906	667	"2012-05"
30906	668	"2012-01"
30906	669	"2012-10"
30906	670	"2012-07"
30906	671	"2014-04"
30906	672	"2014-01"
30906	672	"2013-03"
30906	673	"2014-01"
30906	674	"2011-06"
30906	675	"2014-07"
30906	675	"2010-11"
30906	676	"2014-01"
30906	677	"2012-07"
30906	677	"2014-07"
30906	678	"2012-02"
30906	679	"2013-06"
30906	680	"2013-11"
30906	681	"2011-02"
30906	682	"2012-09"
30906	683	"2014-06"
30906	684	"2014-04"
30906	685	"2012-02"
30906	686	"2012-07"
30906	687	"2012-09"
30906	688	"2012-07"
30906	689	"2012-12"
30906	690	"2013-04"
30906	691	"2013-04"
30906	692	"2012-07"
30906	693	"2011-01"
30906	693	"2011-01"
30906	694	"2011-05"
30906	695	"2013-10"
30906	696	"2012-11"
30906	697	"2013-10"
30906	698	"2012-04"
30906	698	"2013-09"
30906	699	"2013-06"
30906	700	"2012-02"
30906	701	"2013-08"
30906	702	"2011-11"
30906	703	"2014-02"
30906	704	"2012-09"
30906	705	"2012-01"
30906	706	"2011-09"
30906	707	"2013-04"
30906	708	"2013-10"
30906	709	"2013-09"
30906	710	"2012-04"
30906	711	"2013-01"
30906	712	"2012-09"
30906	713	"2012-08"
30906	714	"2012-07"
30906	715	"2013-11"
30906	716	"2013-07"
30906	717	"2012-02"
30906	718	"2013-04"
30906	719	"2013-11"
30906	720	"2013-10"
30906	721	"2014-01"
30906	722	"2012-01"
30906	722	"2014-08"
30906	723	"2013-04"
30906	723	"2013-09"
30906	724	"2012-07"
30906	725	"2013-01"
30906	725	"2013-08"
30906	725	"2012-06"
30906	725	"2012-09"
30906	725	"2014-03"
